Rainfall,Evaporation,WindGustDir,WindGustSpeed,WindSpeed3pm,Humidity3pm,Pressure3pm,Cloud3pm,RainToday,RISK_MM,RainTomorrow
0,3.4,NW,30,20,29,1015,7,No,3.6,Yes
3.6,4.4,ENE,39,17,36,1008.4,3,Yes,3.6,Yes
3.6,5.8,NW,85,6,69,1007.2,7,Yes,39.8,Yes
39.8,7.2,NW,54,24,56,1007,7,Yes,2.8,Yes
2.8,5.6,SSE,50,28,49,1018.5,7,Yes,0,No
0,5.8,SE,44,24,57,1021.7,5,No,0.2,No
0.2,4.2,SE,43,26,47,1022.2,6,No,0,No
0,5.6,E,41,24,57,1024.2,7,No,0,No
0,4,S,48,17,48,1022.7,7,No,16.2,Yes
16.2,5.4,E,31,6,32,1020.7,1,Yes,0,No
0,4.2,N,30,9,34,1021.1,2,No,0.2,No
0.2,7.2,E,41,15,35,1019.9,3,No,0,No
0,7.2,WNW,30,7,29,1017.1,1,No,0,No
0,6.2,NW,44,20,20,1013.1,4,No,0,No
0,8.8,NW,41,20,16,1013.7,1,No,0,No
0,8.4,E,46,9,22,1012.8,3,No,0,No
0,7.2,ESE,44,19,23,1009.8,6,No,1.2,Yes
1.2,7.2,S,52,11,26,1013,5,Yes,0.6,No
0.6,7.4,E,39,17,25,1013.3,3,No,0,No
0,8,NE,33,13,27,1013.7,1,No,0,No
0,8.8,WNW,59,31,26,1006.5,5,No,0.4,No
0.4,9.2,E,26,11,72,1008.9,8,No,25.8,Yes
25.8,2.8,ESE,28,13,79,1014.9,8,Yes,0.4,No
0.4,1.2,NNE,26,9,57,1019.2,5,No,0,No
0,4.4,ENE,33,15,31,1018.6,2,No,0,No
0,6.8,E,41,22,48,1016.5,4,No,0.2,No
0.2,6.6,ENE,39,17,55,1018.6,7,No,0,No
0,4.4,S,52,11,31,1014.8,7,No,0,No
0,7,SE,39,17,80,1017.1,7,No,0.4,No
0.4,2.6,NNW,30,6,49,1013.3,7,No,22.6,Yes
22.6,2.4,SSE,41,20,90,1014.1,8,Yes,4.2,Yes
4.2,1.6,NNE,41,9,46,1009.5,2,Yes,0.2,No
0.2,6.6,NW,50,35,60,1004.6,7,No,6.6,Yes
6.6,3.8,NW,50,26,40,1006.3,2,Yes,0,No
0,8.4,ENE,43,30,63,1015.3,1,No,0,No
0,6,ENE,39,9,54,1016.1,7,No,0,No
0,4.2,SW,41,6,74,1011.5,7,No,4,Yes
4,4.2,NE,39,13,42,1011.4,1,Yes,0,No
0,6.6,NW,43,24,24,1008.5,7,No,0,No
0,10.4,NNW,35,6,37,1010.4,7,No,0.6,No
0.6,4.8,ENE,35,15,63,1017.4,6,No,0,No
0,4.2,ENE,41,24,51,1019.6,5,No,0,No
0,5,SE,39,20,49,1019.3,7,No,0,No
0,4.4,E,35,11,37,1012.5,2,No,0,No
0,6.8,E,41,13,36,1010.2,8,No,5.4,Yes
5.4,6.4,S,31,7,86,1008.6,8,Yes,1.4,Yes
1.4,2.8,ESE,48,20,40,1016.8,4,Yes,0,No
0,6.6,ENE,39,20,43,1018.3,7,No,0,No
0,6.4,NE,22,6,54,1015.6,8,No,3.4,Yes
3.4,1.6,NNW,30,13,74,1014.1,7,Yes,6.4,Yes
6.4,1.8,N,41,22,48,1008.3,7,Yes,11,Yes
11,4.4,NNW,76,30,62,996.8,3,Yes,17.4,Yes
17.4,7.8,ENE,39,20,49,1009.1,7,Yes,0,No
0,6.2,NW,44,13,43,1009.7,4,No,3.4,Yes
3.4,8.2,E,41,11,52,1019.1,3,Yes,0,No
0,5.2,NNW,41,19,35,1018,1,No,0,No
0,7.2,NNW,65,48,64,1014.3,7,No,14.4,Yes
14.4,8.8,NNW,28,13,44,1013.4,5,Yes,0,No
0,6.6,NNW,30,7,30,1014.2,2,No,0,No
0,9.6,E,39,22,18,1015,1,No,0,No
0,11.4,NE,31,9,20,1015.6,1,No,0,No
0,8.8,NNE,35,11,20,1011.6,6,No,0,No
0,7.6,ESE,41,9,14,1008.7,1,No,0,No
0,12.6,ESE,50,24,55,1016.3,7,No,0,No
0,6.2,ESE,46,26,45,1013,7,No,0,No
0,7.4,NE,35,15,40,1007.4,2,No,0,No
0,6.6,ENE,39,19,34,1003.3,1,No,0,No
0,9,ENE,39,11,36,1009.5,1,No,0,No
0,10,E,46,9,44,1013.4,1,No,0,No
0,6.6,E,43,11,45,1015.9,1,No,0,No
0,6.6,NE,33,11,25,1013.3,1,No,0,No
0,9.4,SSE,57,19,24,1006.5,1,No,0,No
0,13.8,SW,50,17,28,1003,2,No,2,Yes
2,9,WNW,52,24,35,1001.8,3,Yes,0,No
0,12.4,E,50,19,57,1012.3,6,No,0,No
0,5.2,W,35,15,26,1009,1,No,0,No
0,10.4,N,59,20,62,1006.1,7,No,4.8,Yes
4.8,6.4,E,46,28,42,1015,1,Yes,0,No
0,9.6,ESE,39,19,55,1015.8,8,No,18.8,Yes
18.8,5,NE,33,13,88,1006,8,Yes,12.2,Yes
12.2,1.4,NW,50,28,71,1004,8,Yes,0.8,No
0.8,5.6,E,48,22,58,1012.1,7,No,0,No
0,4.4,E,33,7,46,1016.8,2,No,0,No
0,5.8,NE,28,7,38,1019.2,4,No,0,No
0,6.4,ENE,35,11,29,1018.1,6,No,0,No
0,6.8,E,41,17,32,1016.9,7,No,0,No
0,7.4,NNE,28,7,28,1012.4,5,No,0,No
0,6.6,WSW,46,26,28,1009.5,4,No,0,No
0,9.4,NNW,44,24,18,1012,1,No,0,No
0,10.4,ENE,46,11,22,1014.6,1,No,0,No
0,9.2,NW,69,13,29,1013.7,6,No,5.2,Yes
5.2,10.2,ESE,39,13,49,1012.8,8,Yes,2.2,Yes
2.2,5.4,SSE,30,11,49,1017.1,7,Yes,0,No
0,5.8,NNE,30,11,44,1014.5,2,No,0,No
0,5.8,E,48,17,38,1012.8,7,No,1.8,Yes
1.8,8,ENE,33,13,76,1011.5,8,Yes,9,Yes
9,2.8,ESE,30,11,71,1007.8,8,Yes,1,No
1,2.8,W,52,24,41,997.5,7,No,0,No
0,6.8,SSW,61,20,76,998.9,7,No,16.2,Yes
16.2,5.4,ENE,41,20,58,1005,7,Yes,0,No
0,4,SSE,33,17,51,1006.8,6,No,0,No
0,5.8,ENE,41,13,37,1011.4,7,No,0,No
0,5,NE,31,13,34,1011.7,5,No,4.4,Yes
4.4,6.6,W,48,17,60,1006.8,5,Yes,11,Yes
11,3.2,ENE,30,15,73,1011,8,Yes,0.2,No
0.2,2.8,E,33,9,37,1015.1,1,No,0,No
0,5.6,ENE,35,7,32,1016.7,1,No,0,No
0,7.2,ENE,39,19,40,1020,1,No,0,No
0,7.4,ENE,46,13,46,1021.4,1,No,0,No
0,6.8,E,31,11,42,1017.4,4,No,0,No
0,5.6,NE,33,15,38,1012.8,2,No,0,No
0,7.2,ESE,39,9,31,1009.1,7,No,1.8,Yes
1.8,7.8,S,50,7,56,1008.4,7,Yes,6.6,Yes
6.6,3.2,W,50,28,42,1002.3,5,Yes,0,No
0,7.8,NW,46,26,32,1005.4,1,No,0,No
0,10.4,NW,44,30,34,1007.2,1,No,0,No
0,5.2,ENE,44,7,35,1014.3,2,No,0,No
0,5,NW,44,17,27,1014.4,6,No,0,No
0,7.8,W,48,30,25,1009.1,6,No,0,No
0,7.6,SSE,48,13,78,1009.9,7,No,10.4,Yes
10.4,5.2,S,48,17,34,1014.5,1,Yes,0,No
0,6.2,S,35,15,31,1019.3,1,No,0,No
0,6.2,E,35,11,37,1023.2,2,No,0,No
0,5.6,E,35,9,28,1020.4,1,No,0,No
0,6,ESE,39,7,28,1018.2,7,No,0,No
0,6,E,46,6,35,1022.2,1,No,0,No
0,6,WSW,41,9,24,1019.3,3,No,0,No
0,8.4,E,50,9,34,1017.7,7,No,3,Yes
3,4.8,NNW,24,9,39,1020.7,7,Yes,0,No
0,5,E,41,11,33,1023.1,1,No,0,No
0,6.6,WNW,24,9,28,1020.4,1,No,0,No
0,6.4,SSW,46,7,18,1019.3,3,No,0.2,No
0.2,7.8,WNW,44,28,23,1017.6,5,No,0,No
0,8.6,ENE,39,7,18,1017.7,1,No,0,No
0,7.2,W,22,13,15,1019.1,1,No,0,No
0,6.4,SE,48,4,15,1019.3,2,No,0,No
0,9.4,NE,28,6,17,1020.7,2,No,0,No
0,7.8,NE,33,13,22,1020.6,0,No,0,No
0,5.8,NW,43,19,30,1018.8,1,No,0,No
0,9,NE,31,15,48,1018.7,4,No,0,No
0,5.2,NW,46,26,35,1009.4,7,No,0,No
0,8.2,SE,30,17,62,1019.3,8,No,0,No
0,2.8,E,33,17,64,1021.8,8,No,0,No
0,2.4,ENE,30,7,44,1019.3,6,No,0.6,No
0.6,4.8,NW,28,19,68,1015.4,7,No,6.4,Yes
6.4,2.8,NNW,43,20,93,1006.5,8,Yes,19.8,Yes
19.8,2.6,W,46,20,50,1008.4,4,Yes,0,No
0,4.6,N,33,17,36,1012.6,2,No,0,No
0,3.6,W,31,19,35,1015,3,No,0,No
0,3.4,NW,57,22,30,1011.3,6,No,0,No
0,6.4,WNW,50,31,34,1009.3,2,No,0,No
0,6.4,WNW,57,26,42,1013,5,No,0,No
0,6,NNW,22,11,34,1021.2,1,No,0,No
0,3.6,NNW,83,37,26,1010.5,8,No,2.6,Yes
2.6,9.6,WNW,63,33,40,1012.7,3,Yes,0,No
0,4.8,N,22,7,33,1019.1,1,No,0,No
0,3.2,E,26,7,27,1022.3,1,No,0,No
0,2.8,E,35,11,35,1024.1,5,No,0,No
0,3.8,ENE,31,11,48,1024,5,No,0,No
0,4.2,ESE,39,9,45,1025.4,4,No,0,No
0,2.8,SW,17,6,49,1021.8,4,No,0,No
0,2.2,E,26,6,28,1019.2,1,No,0,No
0,3.4,ESE,39,7,29,1016.9,1,No,0,No
0,4.6,WNW,35,11,32,1015.8,3,No,2,Yes
2,3.2,W,39,15,56,1013.8,2,Yes,5.2,Yes
5.2,3.8,S,31,20,40,1019.6,1,Yes,0,No
0,3.2,SSE,28,9,36,1023.9,2,No,0,No
0,3.4,S,31,13,39,1024.4,1,No,0,No
0,4.6,WNW,26,7,44,1023.3,2,No,0,No
0,3.2,ESE,48,11,43,1024.1,6,No,0,No
0,3,SE,35,22,51,1027.4,7,No,0,No
0,4.4,ESE,33,30,65,1024.2,7,No,0,No
0,2.8,E,30,7,34,1021,2,No,0,No
0,3.8,SE,33,22,49,1023.5,6,No,0,No
0,4,ENE,26,7,43,1022.2,5,No,0,No
0,2,NE,28,9,55,1019.8,4,No,0,No
0,2,WNW,22,7,42,1014.3,6,No,0.2,No
0.2,2.8,NW,44,20,34,1006.7,7,No,0,No
0,5.8,NW,59,31,51,997.7,6,No,7.2,Yes
7.2,4.4,W,57,22,60,1008.1,6,Yes,0.2,No
0.2,1.8,NNW,22,9,40,1019.6,1,No,0,No
0,1.4,N,28,19,40,1020.5,7,No,0,No
0,2.8,WNW,31,26,54,1018.5,7,No,0,No
0,1.6,W,43,28,38,1017.3,2,No,0,No
0,4,NW,31,13,42,1017.4,1,No,0,No
0,2.4,NNW,30,15,42,1018.5,2,No,0,No
0,3.4,NW,39,19,41,1015.8,5,No,0,No
0,2.8,NW,41,26,53,1013.8,7,No,0,No
0,3.4,WNW,43,30,43,1013.5,1,No,0,No
0,4.4,NW,24,9,44,1018.9,1,No,0,No
0,2.2,NNW,17,9,36,1020.3,1,No,0,No
0,2.4,NW,20,9,41,1020,1,No,0,No
0,2,E,20,11,52,1021.5,7,No,0,No
0,2.2,NA,24,15,47,1020.3,1,No,0,No
0,2.2,NNW,30,15,34,1021.4,2,No,0,No
0,2,NNW,31,20,44,1021,3,No,0,No
0,2.4,NW,33,20,40,1018.7,2,No,1.8,Yes
1.8,3,NW,35,15,69,1013.7,7,Yes,1,No
1,1.8,NW,52,24,78,1005.9,7,No,0.8,No
0.8,1.6,NW,41,26,53,1008.3,6,No,0,No
0,2.2,W,52,24,36,1014.3,1,No,0,No
0,2.2,WNW,31,24,52,1018.6,1,No,0,No
0,2.6,E,24,7,47,1022.9,2,No,0,No
0,2.6,ESE,20,6,43,1026,1,No,0,No
0,2.4,SE,17,6,49,1024.8,1,No,0,No
0,1.2,SE,17,6,43,1023.5,1,No,0,No
0,1.6,W,39,15,48,1021.8,5,No,3.8,Yes
3.8,2,ESE,22,6,50,1023.1,4,Yes,5.2,Yes
5.2,1.2,NNW,22,13,55,1022.3,1,Yes,0,No
0,1.6,NW,20,6,50,1024.7,4,No,0.2,No
0.2,1.2,NW,20,7,45,1029.6,1,No,0,No
0,2,NA,NA,15,46,1028.7,1,No,0,No
0,2.2,E,22,7,38,1027.4,3,No,0,No
0,2.2,NE,17,7,67,1028.9,7,No,0,No
0,1,NNE,15,6,67,1027.1,7,No,0.8,No
0.8,0.6,ESE,20,11,86,1027.2,8,No,3.8,Yes
3.8,0.2,SSE,41,20,65,1025.7,7,Yes,0,No
0,2.2,S,31,20,65,1023.4,7,No,0,No
0,1.6,S,22,4,42,1022.1,1,No,0,No
0,1.4,NE,28,11,42,1027,1,No,0,No
0,2,E,30,13,70,1031.7,7,No,0,No
0,1.2,NNE,30,19,65,1027.9,7,No,6.2,Yes
6.2,2.2,NW,31,0,94,1024.3,8,Yes,4.8,Yes
4.8,0.2,NW,46,17,65,1022.1,7,Yes,0.2,No
0.2,1.2,NW,43,24,48,1019.7,1,No,0.6,No
0.6,3.2,WNW,54,28,58,1014.1,2,No,0,No
0,2.2,S,48,24,49,1025.6,1,No,0,No
0,2.6,S,43,26,57,1026.3,2,No,0,No
0,2.6,SSW,26,9,51,1024.8,2,No,0,No
0,1.6,NNE,20,7,58,1025.5,1,No,0,No
0,1,N,13,9,70,1023.5,7,No,0,No
0,0.6,NNW,17,7,63,1019.7,7,No,4.8,Yes
4.8,0.6,W,26,7,86,1019.2,7,Yes,0.6,No
0.6,0.8,WNW,41,19,59,1021,6,No,0,No
0,1.4,NW,33,9,44,1025.7,4,No,0,No
0,2,NW,24,15,53,1022.1,7,No,0,No
0,1.4,WNW,41,28,69,1024.2,6,No,0,No
0,2,NW,46,28,54,1021.9,1,No,0,No
0,2.6,WNW,63,28,48,1020.4,1,No,0,No
0,3.4,NNW,35,24,51,1025,1,No,0,No
0,2.2,NW,15,9,41,1026,3,No,0,No
0,1.4,NNW,31,22,38,1020.9,6,No,0,No
0,2.4,W,70,28,68,1010.2,7,No,2,Yes
2,3.6,NW,78,33,56,1012.3,1,Yes,0.2,No
0.2,2.8,WNW,61,30,53,1014,1,No,0,No
0,2.8,N,31,20,53,1021.9,1,No,0,No
0,1.8,ESE,35,13,52,1030,6,No,0,No
0,1.4,W,13,2,55,1028.9,2,No,0,No
0,1.2,NW,41,22,59,1026.3,5,No,0.8,No
0.8,1.4,W,35,13,96,1021.1,8,No,16.8,Yes
16.8,1.4,NW,35,15,72,1019.6,6,Yes,0,No
0,0.8,WNW,39,15,68,1016.8,6,No,0,No
0,1.8,NW,65,35,85,1010.5,7,No,1.6,Yes
1.6,1.4,NW,59,31,66,1018.2,3,Yes,0.2,No
0.2,1.4,N,20,7,54,1022.7,7,No,0,No
0,1,NNW,31,15,69,1021.9,7,No,0,No
0,0.6,NNW,41,22,51,1019,1,No,0,No
0,1.8,NNW,28,17,46,1020.1,7,No,0.2,No
0.2,2,N,17,9,62,1020.8,7,No,0,No
0,0.6,NNW,41,24,55,1013.9,3,No,0,No
0,0.8,NW,46,33,73,1009.4,5,No,1.2,Yes
1.2,2.2,NW,35,22,48,1014.9,3,Yes,0.2,No
0.2,1.8,WNW,41,6,87,1009,8,No,19.2,Yes
19.2,1.8,WNW,54,31,56,1010.3,3,Yes,0,No
0,1.4,S,39,28,33,1025.8,1,No,0,No
0,1.6,ESE,26,11,48,1031.1,5,No,0,No
0,1.6,ESE,30,13,51,1027.4,5,No,0,No
0,1.2,S,31,13,25,1020.9,1,No,0.2,No
0.2,2.2,WNW,33,19,50,1015.3,7,No,0,No
0,1.4,SSE,28,13,66,1010,7,No,1.4,Yes
1.4,0.8,S,59,37,56,1014.9,4,Yes,0,No
0,1.8,NA,NA,22,49,1016.8,1,No,0,No
0,2.6,NNW,31,15,48,1014.6,1,No,0,No
0,2.2,WNW,48,26,38,1012.9,7,No,1,No
1,2.6,W,65,28,82,1001.3,7,No,6.6,Yes
6.6,2.2,WNW,57,31,56,1014.9,1,Yes,0,No
0,2.2,WNW,35,24,48,1018.1,1,No,0,No
0,2.4,W,31,19,60,1018.3,7,No,0,No
0,1.8,S,50,26,72,1019.2,8,No,4,Yes
4,1.6,S,48,22,48,1017.6,1,Yes,0,No
0,3,NNW,41,26,78,1015.9,7,No,1.2,Yes
1.2,1.4,N,43,30,62,1019.1,2,Yes,0,No
0,1.8,NW,43,24,70,1019,6,No,0.4,No
0.4,2.4,NW,50,24,68,1012.6,6,No,0.4,No
0.4,1.4,N,39,30,60,1016.6,1,No,0,No
0,1.8,WNW,59,24,63,1020.1,6,No,0,No
0,2.8,WNW,44,30,41,1022.4,1,No,0,No
0,3.4,NW,59,39,45,1018.2,1,No,0,No
0,4.4,WNW,52,33,51,1012.4,3,No,0,No
0,3,NNW,46,28,27,1011.8,1,No,0,No
0,4,N,30,17,35,1022,1,No,0,No
0,3,SSE,48,30,30,1021.8,7,No,0,No
0,2.2,NW,33,20,47,1025.6,6,No,0,No
0,2.4,WNW,39,24,36,1024.4,7,No,0,No
0,3,NW,46,30,27,1017.8,8,No,0,No
0,2.6,S,59,26,44,1016.8,5,No,0,No
0,5.4,S,54,17,38,1025.5,1,No,0,No
0,2.6,NNW,22,11,28,1028,0,No,0,No
0,2.6,WNW,31,19,34,1024.4,6,No,0,No
0,2.8,NW,48,26,23,1020.3,7,No,0,No
0,3,SSW,30,13,23,1025.5,1,No,0,No
0,3.4,ENE,30,15,43,1025.9,5,No,0,No
0,3.4,E,28,20,45,1022.9,6,No,0,No
0,1.8,NNW,39,6,45,1017.5,8,No,4,Yes
4,2.2,NW,59,15,85,1010.4,7,Yes,7.4,Yes
7.4,2.6,NW,46,28,34,1021.7,1,Yes,0,No
0,3.8,WNW,28,13,44,1024.8,4,No,0,No
0,2.8,ESE,41,20,51,1033.2,5,No,0.2,No
0.2,2.2,ENE,35,17,61,1031.9,7,No,0,No
0,1.6,SE,26,13,73,1023.5,8,No,0,No
0,1.8,S,35,24,33,1016.2,7,No,0,No
0,2.8,NW,35,22,33,1013.9,7,No,1,No
1,2.4,SE,31,11,37,1018.2,1,No,0,No
0,3.4,SSE,43,22,25,1020.9,0,No,0,No
0,4,N,30,20,35,1017.9,2,No,0,No
0,3,NW,31,20,20,1013.9,1,No,0,No
0,5,NW,48,26,27,1010.9,5,No,0,No
0,5.6,NW,50,26,31,1011.4,1,No,9.8,Yes
9.8,8.8,NNW,67,30,43,1006,1,Yes,1.6,Yes
1.6,5.2,NW,98,52,33,1001.5,6,Yes,3.4,Yes
3.4,6.6,WNW,65,31,33,1017.6,1,Yes,0,No
0,5.6,ENE,20,7,43,1022.1,1,No,0,No
0,1.6,NNW,39,28,36,1015.6,1,No,0,No
0,3.6,NW,44,28,30,1011.7,1,No,0,No
0,6.8,WNW,65,41,15,1010.9,0,No,0,No
0,10,NNW,46,33,25,1015.1,0,No,0,No
0,6.8,NW,80,20,50,1006.5,8,No,17.4,Yes
17.4,6.4,NW,50,22,44,1017.8,1,Yes,0,No
0,2.2,E,31,6,33,1027.7,1,No,0,No
0,2.6,N,31,13,32,1026.9,1,No,0,No
0,3.6,NNW,44,26,35,1020.6,6,No,0,No
0,4.8,NNW,50,24,25,1016.4,1,No,0,No
0,9.4,WNW,52,30,25,1009.9,1,No,0,No
0,9.6,NW,44,22,32,1013.9,7,No,0,No
0,4.8,N,41,28,34,1017,1,No,0,No
0,5.4,N,46,30,16,1015.4,1,No,0,No
0,5.2,NW,46,28,21,1014.1,0,No,0,No
0,10,NNW,70,41,22,1011.8,1,No,7.6,Yes
7.6,9.4,NNW,33,19,65,1013.2,4,Yes,3,Yes
3,4.2,NNW,43,19,46,1013.6,1,Yes,0,No
0,4.8,W,65,33,40,1005.3,4,No,8.2,Yes
8.2,5.4,NW,57,28,45,1013.3,1,Yes,0,No
0,5.8,N,44,26,33,1017.5,1,No,0,No
0,6.2,NNW,31,9,22,1024.2,1,No,0,No
0,4.4,N,41,19,25,1024.9,2,No,0,No
0,5.4,NW,31,17,30,1023.8,3,No,0,No
0,4.8,NW,30,11,27,1021.5,4,No,0,No
0,6.2,SSW,70,33,47,1016,7,No,13.2,Yes
13.2,6.6,NW,41,24,61,1016.7,3,Yes,0.6,No
0.6,3.4,ENE,31,7,42,1019.7,4,No,0,No
0,4.2,NW,28,9,30,1022.3,1,No,0,No
0,6.2,NNW,52,26,34,1020.7,1,No,0,No
0,5.4,NW,43,20,31,1022.2,7,No,0,No
0,5.8,NW,46,26,30,1019.8,6,No,0.2,No
0.2,7.6,NW,52,31,20,1017.5,1,No,0,No
0,9,ENE,39,11,28,1018.6,5,No,0.8,No
0.8,4.8,S,70,37,24,1023.1,5,No,0,No
0,7.4,SSE,48,15,25,1022.8,2,No,0,No
0,5.4,NNW,39,17,29,1018.4,8,No,0,No
0,5.2,N,43,19,16,1014.6,3,No,0,No
0,6.8,NNW,43,19,20,1014.2,8,No,0,No
0,7.6,NNW,76,50,15,1010.8,3,No,0,No
0,11.6,N,48,19,22,1016.9,1,No,0,No
0,8.4,ESE,43,9,47,1022.8,2,No,0,No
0,5,NW,46,28,39,1016.2,7,No,0,No
0,6,NW,78,35,13,1009.2,1,No,0,No
